NaN,NaN,220.37,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,220.54,NaN,NaN,NaN,NaN,NaN,328.61,NaN,NaN,NaN,NaN,NaN,NaN,297.83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,241.3,NaN,NaN,NaN,NaN,244.32,NaN,NaN,NaN,NaN,NaN,NaN,NaN,263.12,NaN,NaN,255.98,NaN,NaN,NaN,NaN
NaN,NaN,234.27,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,232.06,NaN,NaN,NaN,NaN,NaN,425.64,NaN,NaN,NaN,NaN,NaN,NaN,362.25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,235.35,NaN,NaN,NaN,NaN,236.32,NaN,NaN,NaN,NaN,NaN,NaN,NaN,245.08,NaN,NaN,238.29,NaN,NaN,NaN,NaN
NaN,NaN,272.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,268.43,NaN,NaN,NaN,NaN,NaN,499.61,NaN,NaN,NaN,NaN,NaN,NaN,417.27,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,233.04,NaN,NaN,NaN,NaN,234.32,NaN,NaN,NaN,NaN,NaN,NaN,NaN,237.74,NaN,NaN,232.67,NaN,NaN,NaN,NaN
NaN,NaN,NaN,309.98,NaN,NaN,NaN,NaN,320.46,NaN,NaN,319.21,NaN,NaN,NaN,NaN,NaN,563.81,NaN,NaN,NaN,NaN,NaN,NaN,457.25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,230.43,NaN,NaN,NaN,NaN,233.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,234.3,NaN,NaN,230.2,NaN,NaN,NaN,NaN
NaN,NaN,NaN,329.12,NaN,NaN,NaN,NaN,344.69,NaN,NaN,355.76,NaN,NaN,NaN,NaN,NaN,591.34,NaN,NaN,NaN,NaN,NaN,NaN,456.24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,252.22,NaN,NaN,NaN,NaN,275.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,233.49,NaN,NaN,229.04,NaN,NaN,NaN,NaN
NaN,NaN,NaN,337.25,NaN,NaN,NaN,NaN,356.54,NaN,NaN,358.92,NaN,NaN,NaN,NaN,NaN,587.12,NaN,NaN,NaN,NaN,NaN,NaN,441.98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,338.67,NaN,NaN,NaN,NaN,371.97,NaN,NaN,NaN,NaN,NaN,NaN,NaN,236.87,NaN,NaN,235.63,NaN,NaN,NaN,NaN
NaN,NaN,NaN,314.35,NaN,NaN,NaN,NaN,334.78,NaN,NaN,320.4,NaN,NaN,NaN,NaN,NaN,NaN,512.94,NaN,NaN,524.45,NaN,NaN,NaN,384.97,NaN,NaN,385.75,NaN,NaN,NaN,NaN,426.81,NaN,NaN,NaN,NaN,463.68,NaN,NaN,NaN,NaN,NaN,NaN,NaN,245.75,NaN,NaN,271.99,NaN,NaN,NaN,NaN
NaN,NaN,NaN,283.72,NaN,NaN,NaN,NaN,304.56,NaN,NaN,276.87,NaN,NaN,NaN,NaN,NaN,NaN,438.09,NaN,NaN,447.9,NaN,NaN,NaN,317.44,NaN,NaN,323.9,NaN,NaN,NaN,NaN,510.44,NaN,NaN,NaN,NaN,523.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,270.91,NaN,NaN,NaN,324.24,308.01,NaN,NaN
NaN,NaN,NaN,247.09,NaN,NaN,NaN,NaN,265.13,NaN,NaN,241.5,NaN,NaN,NaN,NaN,NaN,NaN,346.94,NaN,NaN,348.42,NaN,NaN,NaN,263.91,NaN,NaN,266.88,NaN,NaN,NaN,NaN,NaN,532.94,NaN,NaN,574.43,NaN,524.36,NaN,NaN,523.26,NaN,NaN,NaN,302,NaN,NaN,NaN,355.56,336.06,NaN,NaN
NaN,NaN,NaN,228.25,NaN,NaN,NaN,NaN,238.19,NaN,NaN,228.57,NaN,NaN,NaN,NaN,NaN,NaN,280.98,NaN,NaN,276.21,NaN,NaN,NaN,237.23,NaN,NaN,236.14,NaN,NaN,NaN,NaN,NaN,533.66,NaN,NaN,601.5,NaN,466.37,NaN,NaN,461.94,NaN,NaN,NaN,326.03,NaN,NaN,NaN,370.72,325.28,NaN,NaN
NaN,NaN,NaN,221.5,NaN,NaN,NaN,NaN,227.05,NaN,NaN,224.21,NaN,NaN,NaN,NaN,NaN,NaN,242.05,NaN,NaN,239.1,NaN,NaN,NaN,224.72,NaN,NaN,226.29,NaN,NaN,NaN,NaN,NaN,484.72,NaN,NaN,559.07,NaN,356.85,NaN,NaN,367.16,NaN,NaN,NaN,318.15,NaN,NaN,NaN,360.96,278.38,NaN,NaN
